player1.cards.list,player2.cards.list,check
2800001328000001260000642600005526000021260000202600001226000007,2800001128000004280000032700000326000041260000302600002626000000,0
2800001328000000260000832600006726000055260000492600003326000007,2800001128000000270000062600006426000047260000462600004226000040,1
2800001228000011280000102800000927000006260000232600001526000000,2800001128000000270000062600006426000047260000462600004226000040,1
2800001228000011280000082700001226000085260000722600006426000023,2800000026000055260000412600004026000026260000212600001126000007,1
2800001228000011280000082600001726000012260000112600000426000002,2800000826000064260000382600003026000024260000142600001226000000,0
2800001228000011280000072700000626000085260000342600001026000000,2800000426000055260000412600003526000026260000152600001126000007,0
2800001228000011280000072600004526000037260000212600001026000000,2800000828000001260000722600005826000055260000462600004126000016,1
2800001228000011280000072600004526000037260000212600001026000000,2600010326000080260000412600004026000026260000162600001526000011,0
2800001228000011280000072600004526000037260000212600001026000000,2800000826000046260000432600004126000040260000112600000726000001,1
2800001228000011280000072600004526000037260000212600001026000000,2800001128000000270000002600003026000021260000142600001026000000,0
2800001228000011280000072600004526000037260000212600001026000000,2800001128000000270000062600004426000030260000212600001226000011,0
2800001228000011280000072600004526000037260000212600001026000000,2800001128000004280000002700000326000084260000552600004226000011,0
2800001228000011280000072600004526000037260000212600001026000000,2800000126000097260000562600003526000026260000232600001826000011,1
2800001228000011280000072600004526000030260000212600000226000000,2800000126000041260000402600003226000017260000162600001126000006,1
2800001228000011280000052600004526000021260000182600001426000007,2800000426000046260000412600002226000021260000162600001126000007,1
2800001228000011280000032700000827000006260000232600001026000000,2800001128000008270000062600010326000064260000402600003026000021,1
2800001228000011280000032700000827000006260000232600001026000000,2800000426000055260000412600003526000026260000152600001126000007,0
2800001228000011280000022600006326000055260000402600001026000004,2800000528000001260000402600002526000021260000122600000726000000,0
2800001228000011280000012600010326000055260000412600004026000000,2800000827000006260000552600003126000023260000212600000726000000,1
2800001228000011280000002700000827000006260000232600001026000000,2800000827000006260000552600003126000023260000212600000726000000,0
2800001228000011270000062600006226000058260000322600001926000011,2800001128000000260000642600005626000055260000492600004126000018,0
2800001228000011270000042600006226000058260000322600001926000000,2800000827000006260000552600003126000023260000212600000726000000,0
2800001228000011270000042600006226000058260000322600001926000000,2800001128000008280000042600004326000042260000212600001126000007,1
2800001228000011270000042600006226000058260000322600001926000000,2800000526000055260000492600004126000040260000262600002126000012,1
2800001228000008280000072600004226000038260000342600002126000005,2800001127000000260000632600005526000030260000212600001926000002,1
2800001228000008280000022800000026000020260000172600001626000007,2800000927000010260000412600004026000035260000142600001126000003,1
2800001228000008270000062600006426000050260000402600003626000004,2800000126000064260000582600003726000021260000202600001826000000,1
2800001228000008260001032600008526000037260000122600001126000007,2800001028000009280000052700000926000042260000342600001526000000,1
2800001228000008260000552600004126000033260000272600002326000013,2800000026000055260000412600004026000026260000212600001126000007,0
2800001228000008260000452600004226000034260000212600001226000000,2800001228000004260000852600007426000049260000432600001426000011,0
2800001228000008260000452600004226000034260000212600001226000000,2800001128000004260000772600006426000055260000412600001626000014,1
2800001228000008260000452600004226000034260000212600001226000000,2800000228000000260001032600003726000017260000162600001326000011,0
2800001228000008260000452600004226000034260000212600001226000000,2800001128000004280000032700000326000065260000412600003026000026,1
2800001228000008260000452600004226000034260000212600001226000000,2800001127000009270000062600006426000031260000212600001826000011,0
2800001228000008260000452600004226000034260000212600001226000000,2800000928000008260000492600004126000040260000272600001626000003,1
2800001228000008260000452600004226000034260000212600001226000000,2800001128000004280000032700000326000041260000302600002626000000,0
2800001228000008260000452600004226000034260000212600001226000000,2800000126000067260000642600004526000042260000162600001126000004,0
2800001228000008260000452600004226000034260000212600001226000000,2800000828000000270000032600003526000024260000172600001226000005,0
2800001228000008260000452600004226000034260000212600001226000000,2800001128000000270000002600003826000030260000212600001426000010,0
2800001228000008260000452600004226000034260000212600001226000000,2800000528000000260000642600002626000016260000122600001126000006,0
2800001228000008260000452600004226000034260000212600001226000000,2800000428000001260000552600003726000015260000122600001126000007,0
2800001228000008260000452600004226000034260000212600001226000000,2800001128000009260000552600004926000037260000322600001526000011,1
2800001228000008260000452600004226000034260000212600001226000000,2800000526000064260000552600004426000011260000072600000626000001,1
2800001228000008260000452600004226000034260000212600001226000000,2800001128000001260000642600005526000042260000252600002126000000,1
2800001228000008260000452600004226000034260000212600001226000000,2800000928000001260000642600005526000049260000372600001826000017,0
2800001228000008260000452600004226000034260000212600001226000000,2800001128000008260000552600004226000040260000212600001726000012,0
2800001228000008260000452600004226000034260000212600001226000000,2800000528000002270000062600006726000042260000332600001126000007,1
2800001228000008260000452600004226000034260000212600001226000000,2800000328000002280000012600007426000043260000222600001226000006,0
2800001228000008260000452600004226000034260000212600001226000000,2800000826000056260000552600004126000027260000212600001726000004,0
2800001228000008260000452600004226000034260000212600001226000000,2800001128000004270000062600006426000055260000122600001126000007,0
2800001228000008260000452600004226000034260000212600001226000000,2800000428000001260000362600002626000018260000122600001126000007,0
2800001228000007280000062700001226000085260000832600003726000027,2800000827000009260000512600003726000015260000142600001226000011,0
2800001228000007260000452600003726000036260000182600000126000000,2800001126000064260000552600004926000041260000212600001826000011,1
2800001228000006280000052700001226000055260000432600003326000019,2800001128000008270000062600010326000064260000402600003026000021,1
2800001228000005280000012600004926000045260000332600002426000012,2800001128000004280000032700000326000041260000302600002626000000,1
2800001228000005260000372600003526000034260000152600001226000006,2800001028000009280000052700000926000042260000342600001526000000,0
2800001228000004280000012600006426000063260000552600004226000040,2800000126000041260000402600003226000017260000162600001126000006,0
2800001228000004280000002700000426000055260000452600002426000000,2800000827000009260000512600003726000015260000142600001226000011,1
2800001228000002280000012600006826000067260000632600004826000011,2800000426000046260000412600002226000021260000162600001126000007,1
2800001228000002270000072600008726000068260000672600006426000063,2800000528000001280000002600006726000022260000142600001226000011,1
2800001228000001270000002600006326000041260000302600002126000004,2800001128000004270000062600006426000058260000552600004026000011,1
2800001228000000260000642600004526000042260000272600001126000004,2800001128000000260000642600005626000055260000492600004126000018,0
2800001228000000260000622600005526000049260000252600002126000018,2800000426000055260000412600003526000026260000152600001126000007,1
2800001128000009280000082700000326000055260000402600002126000000,2800000827000009260000512600003726000015260000142600001226000011,1
2800001128000009280000042700000626000030260000262600002526000011,2800000827000006260000552600003126000023260000212600000726000000,1
2800001128000009270000132700000626000095260000402600003026000000,2800000827000009260000512600003726000015260000142600001226000011,0
2800001128000009270000132700000626000095260000312600001026000000,2800000526000055260000492600004126000040260000262600002126000012,1
2800001128000009270000132700000626000030260000252600001326000000,2800000526000055260000492600004126000040260000262600002126000012,1
2800001128000009270000062600006726000041260000402600003226000007,2800000127000000260000602600004526000041260000402600002126000011,1
2800001128000009270000062600006426000042260000122600001126000009,2800000828000000260000492600004226000038260000212600001126000002,1
2800001128000009270000032600006426000055260000402600003026000021,2800001128000004270000062600010326000011260000102600000726000000,0
2800001128000009270000022600005126000049260000412600004026000032,2800000827000009260000512600003726000015260000142600001226000011,0
2800001128000009270000002600005526000037260000212600001426000013,2800000026000055260000412600004026000026260000212600001126000007,1
2800001128000009270000002600004926000044260000382600003226000010,2800000828000000260000552600004926000038260000372600002526000021,0
2800001128000009270000002600003826000030260000212600001426000010,2800000927000010260000412600004026000035260000142600001126000003,0
2800001128000009260000642600006026000041260000392600003326000000,2800001128000008270000062600006426000054260000462600000426000000,0
2800001128000009260000552600004926000042260000382600002126000010,2800001128000004270000062600006426000058260000552600004026000011,1
2800001128000008280000062600003126000017260000112600000426000001,2800000126000103260000402600002526000021260000122600000726000000,1
2800001128000008280000042800000027000003260000432600002226000012,2800001127000000260000632600005526000030260000212600001926000002,1
2800001128000008280000042800000026000042260000302600001726000004,2800000728000001260000992600006126000060260000492600003426000025,1
2800001128000008280000042700000626000055260000462600004426000021,2800001128000000270000002600003826000030260000212600001426000010,0
2800001128000008280000042600005526000049260000452600004426000042,2800000928000008260000622600004226000036260000112600000426000000,1
2800001128000008280000042600005526000022260000182600001726000006,2800000126000041260000402600003226000017260000162600001126000006,1
2800001128000008280000042600004326000042260000212600001126000007,2800001126000062260000582600004126000021260000112600000726000005,0
2800001128000008280000042600004326000042260000212600001126000007,2800000828000002260000462600004226000026260000172600000826000004,1
2800001128000008280000042600004326000042260000212600001126000007,2800001128000008260000552600004326000021260000132600001226000005,1
2800001128000008280000042600004326000042260000212600001126000007,2800000728000004280000012700000326000062260000552600001226000011,0
2800001128000008280000042600004326000042260000212600001126000007,2800001128000004270000032700000227000000260000552600001226000011,1
2800001128000008280000042600004326000042260000212600001126000007,2800000228000001280000002600006526000042260000252600001326000004,1
2800001128000008280000042600004326000042260000212600001126000007,2800001128000008270000032600005526000049260000352600001726000006,0
2800001128000008280000042600004326000042260000212600001126000007,2800001128000004270000062600004226000030260000212600001226000011,1
2800001128000008280000042600004326000042260000212600001126000007,2800000828000002260000832600006026000039260000332600002726000018,1
2800001128000008280000042600004326000042260000212600001126000007,2800000827000009260000552600002126000013260000112600001026000005,1
2800001128000008280000042600004326000042260000212600001126000007,2800001128000004280000002600003726000021260000182600001026000000,0
2800001128000008280000042600004326000042260000212600001126000007,2800000828000002260000372600002926000025260000112600000726000006,0
2800001128000008280000042600004326000042260000212600001126000007,2800001126000083260000642600005526000046260000332600002226000012,0
2800001128000008280000042600004326000042260000212600001126000007,2800000828000004270000032600005526000049260000462600004526000012,0
2800001128000008280000042600004326000042260000212600001126000007,2800000428000000260000552600002126000018260000142600001226000011,0
2800001128000008280000042600004326000042260000212600001126000007,2800001127000009260000562600004926000046260000172600001226000011,1
2800001128000008280000042600004326000042260000212600001126000007,2800001128000001260001032600006426000041260000162600001226000011,0
2800001128000008280000042600004326000042260000212600001126000007,2800000628000001270000032600010326000062260000552600003226000007,0
2800001128000008280000042600004326000042260000212600001126000007,2800000126000062260000502600004226000021260000162600001226000007,1
2800001128000008280000042600004326000042260000212600001126000007,2800000128000000260000642600005526000027260000212600001226000007,0
2800001128000008280000042600004326000042260000212600001126000007,2800000826000055260000492600003526000018260000152600001126000007,1
2800001128000008280000042600004326000042260000212600001126000007,2600004526000022260000152600001326000012260000072600000626000004,0
2800001128000008280000042600004326000042260000212600001126000007,2800000328000001280000002700000326000042260000112600000726000004,1
2800001128000008280000042600004326000042260000212600001126000007,2800001128000004270000032600006426000040260000302600002126000000,1
2800001128000008280000042600004326000042260000212600001126000007,2800000128000000260000642600004126000021260000162600001126000007,1
2800001128000008280000042600004326000042260000212600001126000007,2800000828000007260000482600002326000018260000122600001126000009,1
2800001128000008270000092600006426000055260000492600002126000007,2800000526000055260000492600004126000040260000262600002126000012,0
2800001128000008270000062600010326000064260000402600003026000021,2800000126000067260000642600004926000018260000112600000726000001,0
2800001128000008270000062600010326000064260000402600003026000021,2800001128000002260000672600006426000042260000182600000626000001,1
2800001128000008270000062600010326000064260000402600003026000021,2800000026000048260000462600004226000041260000402600001526000009,0
2800001128000008270000062600010326000064260000402600003026000021,2800000827000006260000622600004826000035260000222600001226000009,0
2800001128000008270000062600010326000064260000402600003026000021,2800000127000000260000552600004026000012260000112600000726000005,0
2800001128000008270000062600010326000064260000402600003026000021,2800001128000002270000002600006426000043260000422600001226000006,0
2800001128000008270000062600010326000064260000402600003026000021,2800001128000001260000552600004026000037260000262600002526000011,0
2800001128000008270000062600006926000064260000102600000526000004,2800000428000001260000742600006426000055260000402600001826000004,1
2800001128000008270000062600006426000055260000212600001826000001,2800001028000009280000052700000926000042260000342600001526000000,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004280000032700000326000084260000412600002626000011,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004280000012700000626000064260000552600002126000012,1
2800001128000008270000062600006426000054260000462600000426000000,2800000628000004260000412600003526000022260000212600001726000004,1
2800001128000008270000062600006426000054260000462600000426000000,2800000428000001260000552600004126000035260000232600000626000000,1
2800001128000008270000062600006426000054260000462600000426000000,2800001128000001260000642600004626000041260000212600001126000004,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000006260000772600004326000035260000172600001526000012,0
2800001128000008270000062600006426000054260000462600000426000000,2800000828000006280000002600006426000055260000402600003326000018,1
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004260000842600006426000026260000192600001826000000,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004280000002700000926000055260000332600001726000012,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000000270000002600004626000014260000072600000326000000,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000002270000062600006426000055260000412600002126000000,0
2800001128000008270000062600006426000054260000462600000426000000,2800001127000003260000642600002126000017260000162600001226000000,1
2800001128000008270000062600006426000054260000462600000426000000,2800001127000000260000512600004226000035260000142600001126000007,1
2800001128000008270000062600006426000054260000462600000426000000,2800000928000006280000022600006726000053260000082600000726000001,1
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004260000492600004626000030260000272600002626000017,1
2800001128000008270000062600006426000054260000462600000426000000,2800001128000007260000722600006126000030260000242600001026000000,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004280000002700000326000041260000262600001126000000,0
2800001128000008270000062600006426000054260000462600000426000000,2800001128000004270000002600004126000040260000302600002626000000,0
2800001128000008270000062600006426000038260000212600001426000010,2800000827000006260000552600003126000023260000212600000726000000,1
2800001128000008270000042600008526000072260000402600001826000007,2800001128000000270000062600006426000047260000462600004226000040,1
2800001128000008270000032600006426000055260000462600002126000011,2800000127000000260000602600004526000041260000402600002126000011,0
2800001128000008270000032600005526000040260000212600001826000012,2800000426000046260000412600002226000021260000162600001126000007,0
2800001128000008270000002600006426000030260000212600001826000010,2800000927000010260000412600004026000035260000142600001126000003,1
2800001128000008260000842600007226000016260000132600000726000003,2800000826000064260000452600004326000035260000222600001826000012,1
2800001128000008260000642600005526000021260000182600001226000007,2800001128000001270000062600006426000033260000242600001026000000,0
2800001128000008260000552600004626000042260000182600001526000007,2800000828000004260000692600006226000042260000332600001226000005,0
2800001128000008260000462600004526000042260000182600001126000004,2800000827000009260000512600003726000015260000142600001226000011,1
2800001128000008260000312600002726000018260000152600001226000001,2800001126000064260000402600003026000021260000182600001126000007,0
2800001128000008260000312600002726000018260000152600001226000001,2800000127000007260001032600005526000037260000122600001126000007,0
2800001128000008260000312600002726000018260000152600001226000001,2800001128000004280000032700000626000041260000302600002626000000,0
2800001128000008260000312600002726000018260000152600001226000001,2800000428000001260000742600003626000015260000142600001126000000,0
2800001128000008260000312600002726000018260000152600001226000001,2800000128000000270000062600006426000055260000302600001026000000,0
